"","Date","Counts","Julian","DDs","prop1st"
"1",2021-04-26,0.0909090909090909,116,123.71538213621,0.024390243902439
"2",2021-05-03,0.545454545454545,123,165.967743824903,0.146341463414634
"3",2021-05-17,0.818181818181818,137,265.619621407466,0.219512195121951
"4",2021-05-24,0.0909090909090909,144,296.207840423263,0.024390243902439
"5",2021-05-31,0.363636363636364,151,350.576714835874,0.0975609756097561
"6",2021-06-07,0.636363636363636,158,423.583403261321,0.170731707317073
"7",2021-06-14,0.363636363636364,165,480.648166373796,0.0975609756097561
"8",2021-06-21,0.545454545454545,172,563.496967691542,0.146341463414634
"9",2021-06-28,0.272727272727273,179,684.591797248544,0.0731707317073171
"10",2021-07-05,0,186,806.875202653158,NA
"11",2021-07-12,0.272727272727273,193,919.761160065465,NA
"12",2021-07-19,0,200,1029.85644634142,NA
"13",2021-07-26,0.0909090909090909,207,1131.65520206544,NA
"14",2021-07-29,0,210,1179.57699960637,NA
"15",2021-08-09,0.454545454545455,221,1350.70685999092,NA
"16",2021-08-16,0.181818181818182,228,1466.71840927032,NA
"17",2021-08-23,0,235,1546.12025101935,NA
"18",2021-08-30,0,242,1618.62280221407,NA
"19",2021-09-06,0,249,1687.09155171292,NA
"20",2021-09-13,0,256,1760.65490760813,NA
