"","Date","Counts","Julian","DDs","prop1st"
"1",2019-04-15,0,105,50.1246749032787,0
"2",2019-04-22,0,112,81.5505548590522,0
"3",2019-04-29,0,119,105.889299861731,0
"4",2019-05-10,0.111111111111111,130,174.555430311808,0.0133928571428571
"5",2019-05-18,1.37037037037037,138,226.35559220331,0.165178571428571
"6",2019-05-24,3.48148148148148,144,264.110006027542,0.419642857142857
"7",2019-06-04,1.2962962962963,155,380.027215845751,0.15625
"8",2019-06-11,0.444444444444444,162,433.527229670762,0.0535714285714286
"9",2019-06-18,1,169,525.713370696527,0.120535714285714
"10",2019-06-25,0.444444444444444,176,580.923370696527,0.0535714285714286
"11",2019-07-02,0.148148148148148,183,645.238649259354,0.0178571428571429
"12",2019-07-09,0.185185185185185,190,720.788649259354,NA
"13",2019-07-23,0,204,893.845086978349,NA
"14",2019-07-30,0,211,980.78431159713,NA
"15",2019-08-06,0,218,1079.18105672532,NA
"16",2019-08-13,0.259259259259259,225,1170.51079297488,NA
"17",2019-08-27,0.037037037037037,239,1344.22708971731,NA
"18",2019-09-03,0.0740740740740741,246,1434.63828236594,NA
"19",2019-09-10,0.0740740740740741,253,1508.08759404907,NA
"20",2019-09-17,0.111111111111111,260,1556.16653958684,NA
"21",2019-09-23,0,266,1593.66183113519,NA
"22",2019-09-30,0.037037037037037,273,1618.33959275703,NA
"23",2019-10-07,0,280,1635.69393299813,NA
