"","Date","Counts","Julian","DDs","prop1st"
"1",2019-04-15,0,105,49.0314104284489,0
"2",2019-04-22,0,112,79.885084400928,0
"3",2019-04-29,0,119,104.019176432854,0
"4",2019-05-10,0,130,170.370677206528,0
"5",2019-05-18,1,138,221.632094429178,0.729166666666667
"6",2019-06-04,0.0857142857142857,155,371.676849487674,0.0625
"7",2019-06-11,0.0857142857142857,162,424.110911807645,0.0625
"8",2019-06-18,0.114285714285714,169,514.925628696414,0.0833333333333333
"9",2019-06-25,0.0285714285714286,176,568.685628696414,0.0208333333333333
"10",2019-07-02,0.0571428571428571,183,632.078715552869,0.0416666666666667
"11",2019-07-09,0.0285714285714286,190,705.863715552869,NA
"12",2019-07-23,0.2,204,876.124920156194,NA
"13",2019-07-30,0.0571428571428571,211,961.146378564744,NA
"14",2019-08-06,0.228571428571429,218,1057.68487701304,NA
"15",2019-08-13,0.114285714285714,225,1147.68984289108,NA
"16",2019-08-27,0,239,1317.60222134013,NA
"17",2019-09-03,0,246,1406.83372916726,NA
"18",2019-09-10,0.0285714285714286,253,1479.47004629565,NA
"19",2019-09-17,0.0285714285714286,260,1527.16981697812,NA
"20",2019-09-23,0,266,1563.69778398035,NA
"21",2019-09-30,0,273,1588.20644429789,NA
"22",2019-10-07,0,280,1605.08129987875,NA
