"","Date","Traps","Counts"
"1","15-Apr-19",1,0
"2","15-Apr-19",2,0
"3","15-Apr-19",3,0
"4","15-Apr-19",4,0
"5","15-Apr-19",5,0
"6","15-Apr-19",6,0
"7","15-Apr-19",7,0
"8","15-Apr-19",8,0
"9","15-Apr-19",9,0
"10","15-Apr-19",10,0
"11","15-Apr-19",11,0
"12","15-Apr-19",12,0
"13","15-Apr-19",13,0
"14","15-Apr-19",14,0
"15","15-Apr-19",15,0
"16","15-Apr-19",16,0
"17","15-Apr-19",17,0
"18","15-Apr-19",18,0
"19","15-Apr-19",19,0
"20","15-Apr-19",20,0
"21","15-Apr-19",21,0
"22","15-Apr-19",22,0
"23","15-Apr-19",23,0
"24","15-Apr-19",24,0
"25","15-Apr-19",25,0
"26","15-Apr-19",26,0
"27","15-Apr-19",27,0
"28","22-Apr-19",1,0
"29","22-Apr-19",2,0
"30","22-Apr-19",3,0
"31","22-Apr-19",4,0
"32","22-Apr-19",5,0
"33","22-Apr-19",6,0
"34","22-Apr-19",7,0
"35","22-Apr-19",8,0
"36","22-Apr-19",9,0
"37","22-Apr-19",10,0
"38","22-Apr-19",11,0
"39","22-Apr-19",12,0
"40","22-Apr-19",13,0
"41","22-Apr-19",14,0
"42","22-Apr-19",15,0
"43","22-Apr-19",16,0
"44","22-Apr-19",17,0
"45","22-Apr-19",18,0
"46","22-Apr-19",19,0
"47","22-Apr-19",20,0
"48","22-Apr-19",21,0
"49","22-Apr-19",22,0
"50","22-Apr-19",23,0
"51","22-Apr-19",24,0
"52","22-Apr-19",25,0
"53","22-Apr-19",26,0
"54","22-Apr-19",27,0
"55","29-Apr-19",1,0
"56","29-Apr-19",2,0
"57","29-Apr-19",3,0
"58","29-Apr-19",4,0
"59","29-Apr-19",5,0
"60","29-Apr-19",6,0
"61","29-Apr-19",7,0
"62","29-Apr-19",8,0
"63","29-Apr-19",9,0
"64","29-Apr-19",10,0
"65","29-Apr-19",11,0
"66","29-Apr-19",12,0
"67","29-Apr-19",13,0
"68","29-Apr-19",14,0
"69","29-Apr-19",15,0
"70","29-Apr-19",16,0
"71","29-Apr-19",17,0
"72","29-Apr-19",18,0
"73","29-Apr-19",19,0
"74","29-Apr-19",20,0
"75","29-Apr-19",21,0
"76","29-Apr-19",22,0
"77","29-Apr-19",23,0
"78","29-Apr-19",24,0
"79","29-Apr-19",25,0
"80","29-Apr-19",26,0
"81","29-Apr-19",27,0
"82","10-May-19",1,0
"83","10-May-19",2,0
"84","10-May-19",3,2
"85","10-May-19",4,0
"86","10-May-19",5,0
"87","10-May-19",6,0
"88","10-May-19",7,0
"89","10-May-19",8,0
"90","10-May-19",9,0
"91","10-May-19",10,0
"92","10-May-19",11,0
"93","10-May-19",12,0
"94","10-May-19",13,0
"95","10-May-19",14,0
"96","10-May-19",15,0
"97","10-May-19",16,1
"98","10-May-19",17,0
"99","10-May-19",18,0
"100","10-May-19",19,0
"101","10-May-19",20,0
"102","10-May-19",21,0
"103","10-May-19",22,0
"104","10-May-19",23,0
"105","10-May-19",24,0
"106","10-May-19",25,0
"107","10-May-19",26,0
"108","10-May-19",27,0
"109","18-May-19",1,1
"110","18-May-19",2,1
"111","18-May-19",3,1
"112","18-May-19",4,1
