"","Date","Traps","Counts"
"1","23-Apr-18",1,0
"2","23-Apr-18",2,0
"3","23-Apr-18",3,0
"4","23-Apr-18",4,0
"5","23-Apr-18",5,0
"6","23-Apr-18",6,0
"7","23-Apr-18",7,0
"8","23-Apr-18",8,0
"9","23-Apr-18",9,0
"10","23-Apr-18",10,0
"11","23-Apr-18",11,0
"12","23-Apr-18",12,0
"13","23-Apr-18",13,0
"14","23-Apr-18",14,0
"15","23-Apr-18",15,0
"16","23-Apr-18",16,0
"17","23-Apr-18",17,0
"18","23-Apr-18",18,0
"19","23-Apr-18",19,0
"20","23-Apr-18",20,0
"21","23-Apr-18",21,0
"22","23-Apr-18",22,0
"23","23-Apr-18",23,0
"24","23-Apr-18",24,0
"25","23-Apr-18",25,0
"26","23-Apr-18",26,0
"27","23-Apr-18",27,0
"28","23-Apr-18",28,0
"29","23-Apr-18",29,0
"30","23-Apr-18",30,0
"31","23-Apr-18",31,0
"32","23-Apr-18",32,0
"33","23-Apr-18",33,0
"34","23-Apr-18",34,0
"35","23-Apr-18",35,0
"36","23-Apr-18",36,0
"37","23-Apr-18",37,0
"38","23-Apr-18",38,0
"39","23-Apr-18",39,0
"40","23-Apr-18",40,0
"41","23-Apr-18",41,0
"42","23-Apr-18",42,0
"43","23-Apr-18",43,0
"44","20-Apr-18",1,0
"45","20-Apr-18",2,0
"46","20-Apr-18",3,0
"47","20-Apr-18",4,0
"48","20-Apr-18",5,0
"49","20-Apr-18",6,0
"50","20-Apr-18",7,0
"51","20-Apr-18",8,0
"52","20-Apr-18",9,0
"53","20-Apr-18",10,0
"54","20-Apr-18",11,0
"55","20-Apr-18",12,0
"56","20-Apr-18",13,0
"57","20-Apr-18",14,0
"58","20-Apr-18",15,0
"59","20-Apr-18",16,0
"60","20-Apr-18",17,0
"61","20-Apr-18",18,0
"62","20-Apr-18",19,0
"63","20-Apr-18",20,0
"64","20-Apr-18",21,0
"65","20-Apr-18",22,0
"66","20-Apr-18",23,0
"67","20-Apr-18",24,0
"68","20-Apr-18",25,0
"69","20-Apr-18",26,0
"70","20-Apr-18",27,0
"71","20-Apr-18",28,0
"72","20-Apr-18",29,0
"73","20-Apr-18",30,0
"74","20-Apr-18",31,0
"75","20-Apr-18",32,0
"76","20-Apr-18",33,0
"77","20-Apr-18",34,0
"78","20-Apr-18",35,0
"79","20-Apr-18",36,0
"80","20-Apr-18",37,0
"81","20-Apr-18",38,0
"82","20-Apr-18",39,0
"83","20-Apr-18",40,0
"84","20-Apr-18",41,0
"85","20-Apr-18",42,0
"86","20-Apr-18",43,0
"87","7-May-18",1,0
"88","7-May-18",2,0
"89","7-May-18",3,0
"90","7-May-18",4,0
"91","7-May-18",5,0
"92","7-May-18",6,0
"93","7-May-18",7,0
"94","7-May-18",8,0
"95","7-May-18",9,1
"96","7-May-18",10,0
"97","7-May-18",11,0
"98","7-May-18",12,0
"99","7-May-18",13,0
"100","7-May-18",14,0
"101","7-May-18",15,0
"102","7-May-18",16,0
"103","7-May-18",17,0
"104","7-May-18",18,0
"105","7-May-18",19,0
"106","7-May-18",20,0
"107","7-May-18",21,0
"108","7-May-18",22,0
"109","7-May-18",23,0
"110","7-May-18",24,0
"111","7-May-18",25,0
"112","7-May-18",26,0
"113","7-May-18",27,0
"114","7-May-18",28,0
"115","7-May-18",29,0
"116","7-May-18",30,0
"117","7-May-18",31,1
"118","7-May-18",32,0
"119","7-May-18",33,0
"120","7-May-18",34,0
"121","7-May-18",35,0
"122","7-May-18",36,0
"123","7-May-18",37,0
"124","7-May-18",38,0
"125","7-May-18",39,0
"126","7-May-18",40,0
"127","7-May-18",41,0
"128","7-May-18",42,0
"129","7-May-18",43,0
"130","14-May-18",1,0
"131","14-May-18",2,0
"132","14-May-18",3,1
