"","Date","Counts","Julian","DDs","prop1st"
"1",2018-04-23,0,113,73.5918828977235,0
"2",2018-04-30,0,120,113.237624595503,0
"3",2018-05-07,0,127,170.450610437981,0
"4",2018-05-14,1.33333333333333,134,234.527112316962,0.117647058823529
"5",2018-05-21,1.66666666666667,141,303.356359299519,0.147058823529412
"6",2018-05-28,2.16666666666667,148,381.345139345694,0.191176470588235
"7",2018-06-04,0.833333333333333,155,434.365968558493,0.0735294117647059
"8",2018-06-11,2,162,487.333556927667,0.176470588235294
"9",2018-06-18,1.83333333333333,169,550.658169861253,0.161764705882353
"10",2018-06-25,1.5,176,640.852881777327,0.132352941176471
"11",2018-07-02,0,183,705.308883669757,NA
"12",2018-07-09,0.833333333333333,190,794.227754111775,NA
"13",2018-07-16,0.166666666666667,197,897.553796567209,NA
"14",2018-07-23,0.5,204,997.710080633771,NA
"15",2018-07-30,1,211,1110.27055531107,NA
"16",2018-08-07,0.333333333333333,219,1229.81016615192,NA
"17",2018-08-13,2.83333333333333,225,1316.2353696683,NA
"18",2018-08-20,2.83333333333333,232,1410.88833045577,NA
"19",2018-08-27,1.5,239,1486.72570167563,NA
"20",2018-09-03,0.5,246,1560.62070167563,NA
"21",2018-09-10,0.166666666666667,253,1630.115015485,NA
"22",2018-09-17,0,260,1670.1308099878,NA
"23",2018-09-24,0,267,1714.1543934848,NA
"24",2018-10-01,0,274,1757.01012908966,NA
