"","Date","Counts","Julian","DDs","prop1st"
"1",2018-04-23,0,113,80.9821119692132,0
"2",2018-04-30,0,120,121.815785950106,0
"3",2018-05-07,0.17910447761194,127,180.495046682777,0.0740740740740741
"4",2018-05-14,0.611940298507463,134,245.247187769993,0.253086419753086
"5",2018-05-21,0.567164179104478,141,315.091277708405,0.234567901234568
"6",2018-05-28,0.223880597014925,148,394.28192157398,0.0925925925925926
"7",2018-06-04,0.194029850746269,155,448.809239384984,0.0802469135802469
"8",2018-06-11,0.17910447761194,162,502.951132900933,0.0740740740740741
"9",2018-06-18,0.208955223880597,169,568.031518144452,0.0864197530864197
"10",2018-06-25,0.253731343283582,176,659.476091826206,0.104938271604938
"11",2018-07-02,0.082089552238806,183,726.458769800322,NA
"12",2018-07-09,0.865671641791045,190,816.749576578082,NA
"13",2018-07-16,0.82089552238806,197,921.304033519891,NA
"14",2018-07-23,0.425373134328358,204,1022.2804585073,NA
"15",2018-07-30,0.261194029850746,211,1136.20516112348,NA
"16",2018-08-06,0.23134328358209,218,1240.26713351485,NA
"17",2018-08-13,0.388059701492537,225,1343.00521950604,NA
"18",2018-08-20,0.32089552238806,232,1438.59107971052,NA
"19",2018-08-27,0.574626865671642,239,1515.26961669313,NA
"20",2018-09-03,0.641791044776119,246,1589.67756514581,NA
"21",2018-09-10,0.41044776119403,253,1660.45043571452,NA
"22",2018-09-17,0.0597014925373134,260,1701.45262534122,NA
"23",2018-09-24,0.0149253731343284,267,1746.70651898903,NA
"24",2018-10-01,0.0522388059701493,274,1790.41151996208,NA
"25",2018-10-08,0,281,1805.29033075616,NA
"26",2018-10-15,0,288,1827.09450869821,NA
