"","Date","Counts","Julian","DDs","prop1st"
"1",2020-04-20,0,111,91.5022229698116,0
"2",2020-04-27,0,118,121.051635512704,0
"3",2020-05-04,0,125,152.43380566138,0
"4",2020-05-07,0.0392156862745098,128,166.13558196593,0.0141843971631206
"5",2020-05-13,0.176470588235294,134,209.21647517856,0.0638297872340426
"6",2020-05-20,0.0784313725490196,141,244.877596838075,0.0283687943262411
"7",2020-05-27,0.0588235294117647,148,286.674078803096,0.0212765957446809
"8",2020-06-03,0.372549019607843,155,352.125249922077,0.134751773049645
"9",2020-06-10,0.450980392156863,162,397.845667166991,0.163120567375887
"10",2020-06-17,0.470588235294118,169,448.506278632676,0.170212765957447
"11",2020-06-24,0.450980392156863,176,536.72170001717,0.163120567375887
"12",2020-07-01,0.352941176470588,183,613.086043143774,0.127659574468085
"13",2020-07-08,0.313725490196078,190,684.021043143774,0.113475177304965
"14",2020-07-15,0.0980392156862745,197,762.590914792223,NA
"15",2020-07-22,0.117647058823529,204,869.103231092751,NA
"16",2020-07-29,0.0392156862745098,211,966.996113941931,NA
"17",2020-08-05,0.176470588235294,218,1076.25932943396,NA
"18",2020-08-12,0.549019607843137,225,1158.71393212448,NA
"19",2020-08-19,0.803921568627451,232,1256.6834415628,NA
"20",2020-08-26,2.15686274509804,239,1346.43648200776,NA
"21",2020-09-02,2.27450980392157,246,1429.03138590969,NA
"22",2020-09-09,1.03921568627451,253,1508.49149752102,NA
"23",2020-09-15,0.411764705882353,259,1560.99149752102,NA
