"","Date","Counts","Julian","DDs","prop1st"
"1",2018-04-23,0,113,55.5164925344426,0
"2",2018-04-30,0,120,90.495509147746,0
"3",2018-05-07,0.0116279069767442,127,139.963778490281,0.00261096605744125
"4",2018-05-14,0.232558139534884,134,194.046058266511,0.0522193211488251
"5",2018-05-21,0.523255813953488,141,253.281058266511,0.117493472584856
"6",2018-05-28,0.465116279069767,148,323.586058266511,0.10443864229765
"7",2018-06-04,0.348837209302326,155,368.251084878089,0.0783289817232376
"8",2018-06-11,0.569767441860465,162,410.679570416707,0.127937336814621
"9",2018-06-18,0.906976744186046,169,465.044713895646,0.203655352480418
"10",2018-06-25,1.05813953488372,176,546.939713895646,0.237597911227154
"11",2018-07-02,0.337209302325581,183,605.640705445044,0.0757180156657963
"12",2018-07-09,0.186046511627907,190,687.541921258641,NA
"13",2018-07-16,0.406976744186047,197,786.190091003328,NA
"14",2018-07-23,0.465116279069767,204,878.149278916666,NA
"15",2018-07-30,0.244186046511628,211,988.728893185989,NA
"16",2018-08-07,0.174418604651163,219,1098.34890673212,NA
"17",2018-08-13,0.604651162790698,225,1181.03164949185,NA
"18",2018-08-20,0.767441860465116,232,1272.11102113507,NA
"19",2018-08-27,0.151162790697674,239,1336.28692587888,NA
"20",2018-09-03,0.162790697674419,246,1400.34864492927,NA
"21",2018-09-10,0.116279069767442,253,1464.11364492927,NA
"22",2018-09-17,0.0581395348837209,260,1497.89876176616,NA
"23",2018-09-24,0,267,1534.53316804452,NA
"24",2018-10-01,0.0116279069767442,274,1572.36848998351,NA
"25",2018-10-08,0,281,1583.76107063363,NA
"26",2018-10-15,0,288,1599.31628895563,NA
