X,Y,Year
-119.580568493761,49.126713119308,2015
-119.581150200092,49.1274899296149,2015
-119.581465265454,49.1285514214212,2015
-119.578895527204,49.1289064983042,2015
-119.579639042064,49.1319259092601,2015
-119.580246864795,49.1349179402335,2015
-119.578778594786,49.1377105947391,2015
-119.578513998389,49.1393147725457,2015
-119.578254926692,49.1409411376658,2015
-119.57486447815,49.1415046457127,2015
-119.578985012083,49.1450850759976,2015
-119.583972723043,49.1515104931122,2015
-119.581614851598,49.1521457137131,2015
-119.580103166302,49.1537384695137,2015
-119.579143143696,49.1551557662094,2015
-119.583222332133,49.1553695106791,2015
-119.579555885803,49.1571779917584,2015
-119.582578877267,49.1588338721045,2015
-119.577427731506,49.1603889561165,2015
-119.580657504072,49.1616738335649,2015
-119.576373206596,49.1620720304084,2015
-119.57550351961,49.1642040415403,2015
-119.577575178516,49.1660809166391,2015
-119.580435937073,49.1664756352394,2015
-119.574039725111,49.1664873068283,2015
-119.576241688686,49.1673742748701,2015
-119.573846165104,49.1685351261634,2015
-119.571688483865,49.1686536720775,2015
-119.57018621424,49.169317894614,2015
-119.571229649106,49.1698313922786,2015
-119.568977637347,49.170074343234,2015
-119.577388748797,49.170096334261,2015
-119.581475500295,49.1711782464598,2015
-119.56654500774,49.1714678903099,2015
-119.574583028384,49.1716437699766,2015
-119.564433743764,49.1723677957839,2015
-119.571673585359,49.1724032712245,2015
-119.569858195276,49.1731200784874,2015
-119.566099743089,49.1734705496158,2015
-119.573912405751,49.1742290737199,2015
-119.563115856702,49.1758692375384,2015
-119.572426525202,49.176093202014,2015
-119.580103166302,49.1537384695137,2014
-119.576241688686,49.1673742748701,2014
-119.570639900251,49.146762218803,2015
-119.578520559145,49.1470824657545,2015
-119.576343075524,49.1495608389981,2015
-119.586821784788,49.150479694834,2015
-119.575934582442,49.1509264790923,2015
-119.572111150414,49.1536880985521,2015
-119.569129157875,49.1559709477126,2015
-119.586762272957,49.1575928254004,2015
-119.591509236407,49.1576315257248,2015
-119.586971340002,49.1589249567176,2015
-119.56733922472,49.1590841359307,2015
-119.586376948465,49.1599831553094,2015
-119.565682242798,49.1609280576626,2015
-119.585946225878,49.1609998969816,2015
-119.585325331028,49.1619004318356,2015
-119.563874358495,49.1622538606933,2015
-119.589759021922,49.1632679275682,2015
-119.585406429642,49.1640919158569,2015
-119.584966095361,49.165051559468,2015
-119.584412821961,49.1659767541317,2015
-119.557867119241,49.1667569302127,2015
-119.58405741114,49.1670661133085,2015
-119.589910606337,49.1674580595202,2015
-119.556721357369,49.1677150918836,2015
-119.58291202965,49.168354167597,2015
-119.561181023253,49.168615642755,2015
-119.582310483567,49.1699350294127,2015
-119.563264398954,49.1704951208589,2015
-119.558379775099,49.1726820927174,2015
-119.561334714139,49.1733445579116,2015
-119.557202654265,49.1739713094089,2015
-119.556801909251,49.1745956483084,2015
-119.580601478255,49.1503159618641,2015
-119.57913066722,49.1515281310839,2015
-119.578014678812,49.152479997399,2015
-119.576107881456,49.1542162967041,2015
-119.575891142263,49.1564734541012,2015
-119.573443215263,49.1585002318391,2015
-119.570520526265,49.1602292162712,2015
-119.573967895656,49.1608146200253,2015
-119.567268035906,49.1635611105734,2015
-119.571160250022,49.1647664686718,2015
-119.570506126713,49.1658181759421,2015
-119.569749316554,49.1667632162496,2015
-119.473397655642,49.0034639921356,2004
-119.472734500465,49.0135672772371,2004
-119.553872617229,49.0898148142489,2004
-119.560167109931,49.0970620673755,2004
-119.544155822423,49.1586121716105,2004
-119.471905804295,49.0008225008079,1998
-119.465070622935,49.0009443507445,1998
-119.469253070831,49.0029345584925,1998
-119.470494873204,49.0032803368028,1998
-119.473397655642,49.0034639921356,1998
-119.467646865966,49.0035541814464,1998
-119.462648593929,49.0036253161842,1998
-119.470300228651,49.0051276747407,1998
-119.462285719389,49.0054226108558,1998
-119.474181531295,49.0068635196829,1998
-119.464921272629,49.0071076275528,1998
-119.463625386472,49.0117426489258,1998
-119.472294669666,49.0119697062995,1998
-119.465845036322,49.012977515017,1998
-119.472734500465,49.0135672772371,1998
-119.476645718621,49.0140774904521,1998
-119.467151438928,49.0146168513945,1998
-119.468448129578,49.0159889974506,1998
-119.475920366848,49.0179218168415,1998
-119.470255715572,49.0181332636837,1998
-119.473457870087,49.0199177783814,1998
-119.478687821363,49.0207765966366,1998
-119.47860707852,49.0250705027879,1998
-119.491830491757,49.0272834026755,1998
-119.480148566053,49.0300985729911,1998
-119.476569932375,49.0305866274792,1998
-119.48225844157,49.0328411818657,1998
-119.478204817456,49.0338684265647,1998
-119.483588682368,49.0351322634804,1998
-119.481259903673,49.0369962213413,1998
-119.483268053511,49.0378706677539,1998
-119.486687243989,49.0385498443906,1998
-119.475673187111,49.0390379802928,1998
-119.479370861007,49.039580133439,1998
-119.488449933469,49.0408939825557,1998
-119.490103582556,49.0413150560077,1998
-119.491173355522,49.042249027538,1998
-119.483333930272,49.0426323007744,1998
-119.481188041813,49.0426897307379,1998
-119.494121116355,49.0432598004909,1998
-119.493596228953,49.0445610126289,1998
-119.502735527464,49.0449114972821,1998
-119.489696760268,49.0451515006096,1998
-119.500507606213,49.0462270122456,1998
-119.484414435291,49.0469464445287,1998
-119.492178508348,49.0483244910221,1998
-119.488719904343,49.0491020856374,1998
-119.508437173046,49.0492898765015,1998
-119.500747428305,49.0496589279176,1998
-119.502202671092,49.0506102603077,1998
-119.503985621498,49.0517978223356,1998
-119.499329076606,49.0518598645362,1998
-119.508643966094,49.0521822411054,1998
-119.509796047654,49.053616179494,1998
-119.506877564835,49.0541202189077,1998
-119.497994008932,49.0541435479297,1998
-119.504801006168,49.0564782142763,1998
-119.505514803488,49.0576222102593,1998
-119.506544308774,49.0584611897835,1998
-119.509061673998,49.060012104374,1998
-119.519998159309,49.0611195982625,1998
-119.517040894803,49.062637413063,1998
-119.524616819093,49.0636507768958,1998
-119.527313752448,49.0690609271459,1998
-119.527326588508,49.0706519892765,1998
-119.541858113835,49.0799464280395,1998
-119.547992462951,49.0833311589793,1998
-119.552389885635,49.0875500424374,1998
-119.555241474391,49.0903663209874,1998
-119.560143035532,49.0929815900595,1998
-119.560167109931,49.0970620673755,1998
-119.56012122771,49.0992692653967,1998
-119.566609862643,49.1005077082579,1998
-119.560519078498,49.1024679512798,1998
-119.56544719742,49.1039247092626,1998
-119.564293350557,49.1057298257226,1998
-119.573690431841,49.1092148131514,1998
-119.57269319743,49.1122553695997,1998
-119.578409908308,49.1127744346311,1998
-119.57375488256,49.1131365812182,1998
-119.57438681377,49.1153888486044,1998
-119.579829695119,49.1160143584389,1998
-119.575270484361,49.1172237130958,1998
-119.571253329563,49.1178801938472,1998
-119.565006374794,49.1183547325334,1998
-119.583899217875,49.1191390822744,1998
-119.580424282131,49.1191807767684,1998
-119.561902782879,49.1193217412254,1998
-119.566180125521,49.1195535348736,1998
-119.565812967227,49.1211290182582,1998
-119.57696295316,49.1213330543364,1998
-119.577310045381,49.122464916478,1998
-119.563746260991,49.1231365130243,1998
-119.582484989985,49.1238987078597,1998
-119.580568493761,49.126713119308,1998
-119.572854092591,49.127066145009,1998
-119.565700246565,49.1271980963187,1998
-119.568862645988,49.1274296605863,1998
-119.572842063327,49.1285098457941,1998
-119.581465265454,49.1285514214212,1998
-119.568421032785,49.130391311371,1998
-119.56636457162,49.1305292862857,1998
